Ichigo Kurosaki|🗡️🖤🌑|🍓⚔️💥|👊💢🌌
Rukia Kuchiki|❄️🌙👘|🧊✨🎴|🌨️👩‍🎓🗡️
Renji Abarai|🐍🔴💪|💥🦍⚔️|📿🔥🐒
Byakuya Kuchiki|🌸🗡️🎩|🌺👑💫|🧠📜💮
Tōshirō Hitsugaya|❄️🐉👦|🧊⚔️👼|🥶🌬️🗡️
Kenpachi Zaraki|👁️🩸⚔️|💥😈🛡️|🔪🧨💢
Mayuri Kurotsuchi|🧪👨‍🔬💀|🦠🧠🔧|☣️🎭🧬
Sōsuke Aizen|🧠🪞😈|👓🌌💫|🌀👁️💠
Uryū Ishida|🏹🧵📐|👓💨🔵|🎯💫🦋
Yoruichi Shihouin|🐈⚡🥋|👣💨👊|🟣🌩️💃
Kisuke Urahara|👒🍭🔬|🎩🧪🛠️|☂️🧠🍵
Shinji Hirako|🌀😏🎧|🙃🌫️🗡️|🎭🌀🧠
Grimmjow Jaegerjaquez|😼💢🦁|🧨🌀🩸|🐾⚔️🔥
Ulquiorra Cifer|🦇💚😐|🌑🗡️🫥|👁️🖤⚡
Nelliel Tu Odelschwanck|🐏💚🔋|🌪️🟢👧|🛡️⚔️😊
Tia Harribel|🌊🟡😶|💧🗡️👩‍✈️|🐠💦🧊
Coyote Starrk|🐺🔫😴|💤💥🐺|💣👬🌫️
Baraggan Louisenbairn|💀⌛👑|🧓🦴🌪️|☠️📯🗡️
Nnoitra Gilga|🔪👁️😠|🌀💢🛡️|🦂⚔️😤
Szayelaporro Granz|🧬🧠🔬|👓🎭☣️|💉🕷️🧪
Shunsui Kyōraku|🎴🍶🌸|🎩⚔️🍃|🧔🍷🌺
Jūshirō Ukitake|🌊⚖️🦷|🎐🩺🧘|📘💫🎏
Yamamoto Genryūsai|🔥👴⚔️|☀️🔥🧓|🪵💥🌋
Rangiku Matsumoto|💃🍶🌬️|🔥💄🧡|💨🪶🗡️
Ikkaku Madarame|💪🔴🪖|⚔️💥😤|🦴🥊👨‍🦲
Yumichika Ayasegawa|💅🌸🪞|🌷🧿🦚|🎨✨💫
Izuru Kira|😢⚖️🪓|🪙💔📉|⚔️😞🧠
Hisagi Shūhei|🔗🗡️🎤|😶‍🌫️🦋🖤|🧵🪓🌀
